Round,Date,Time,Team 1,Team 2,FT,HT
1,1969-08-16,15:30,Alemannia Aachen,TSV 1860 München,0-0,0-0
1,1969-08-16,15:30,FC Schalke 04,Bor. Mönchengladbach,2-0,1-0
1,1969-08-16,15:30,Hertha BSC,MSV Duisburg,1-0,1-0
1,1969-08-16,15:30,Rot-Weiss Oberhausen,Eintracht Frankfurt,3-1,1-1
1,1969-08-16,15:30,VfB Stuttgart,Werder Bremen,1-1,0-0
1,1969-08-16,15:30,Hamburger SV,1. FC Kaiserslautern,2-1,0-0
1,1969-08-16,15:30,1. FC Köln,Eintracht Braunschweig,3-2,0-0
1,1969-08-16,15:30,Hannover 96,Borussia Dortmund,4-2,1-0
1,1969-08-16,15:30,Bayern München,Rot-Weiss Essen,4-0,2-0
2,1969-08-22,20:00,Eintracht Frankfurt,FC Schalke 04,2-1,0-1
2,1969-08-23,15:30,Rot-Weiss Essen,Alemannia Aachen,2-0,2-0
2,1969-08-23,15:30,TSV 1860 München,Hertha BSC,2-0,1-0
2,1969-08-23,15:30,Bor. Mönchengladbach,Bayern München,2-1,0-1
2,1969-08-23,15:30,1. FC Kaiserslautern,Rot-Weiss Oberhausen,0-0,0-0
2,1969-08-23,15:30,MSV Duisburg,VfB Stuttgart,1-1,1-1
2,1969-08-23,15:30,Eintracht Braunschweig,Hannover 96,1-1,0-1
2,1969-08-23,15:30,Borussia Dortmund,Hamburger SV,2-1,1-0
2,1969-08-23,15:30,Werder Bremen,1. FC Köln,2-1,1-1
3,1969-08-27,20:00,Bayern München,Eintracht Frankfurt,2-1,1-1
3,1969-08-29,20:00,1. FC Köln,MSV Duisburg,6-2,4-0
3,1969-08-30,15:30,VfB Stuttgart,TSV 1860 München,3-1,1-0
3,1969-08-30,15:30,Rot-Weiss Oberhausen,Borussia Dortmund,2-1,0-0
3,1969-08-30,15:30,Hannover 96,Werder Bremen,3-2,0-1
3,1969-08-30,15:30,Hamburger SV,Eintracht Braunschweig,3-3,0-1
3,1969-08-30,15:30,Bor. Mönchengladbach,Rot-Weiss Essen,2-1,0-1
3,1969-08-30,15:30,FC Schalke 04,1. FC Kaiserslautern,4-2,1-1
3,1969-08-30,15:30,Hertha BSC,Alemannia Aachen,2-1,1-0
4,1969-09-05,20:00,Eintracht Frankfurt,Bor. Mönchengladbach,1-2,0-2
4,1969-09-05,20:00,MSV Duisburg,Hannover 96,1-0,0-0
