Round,Date,Team 1,FT,HT,Team 2
1,(Fri) 20 Aug 1982 (33),Borussia Dortmund (1),1-1,1-0,VfB Stuttgart (1)
1,(Fri) 20 Aug 1982 (33),1. FC Kaiserslautern (1),2-2,1-0,Hertha BSC (1)
1,(Sat) 21 Aug 1982 (33),Bayer 04 Leverkusen (1),0-1,0-1,Arminia Bielefeld (1)
1,(Sat) 21 Aug 1982 (33),Karlsruher SC (1),1-0,1-0,Eintracht Frankfurt (1)
1,(Sat) 21 Aug 1982 (33),Fortuna Düsseldorf (1),2-0,1-0,VfL Bochum (1)
1,(Sat) 21 Aug 1982 (33),Werder Bremen (1),1-0,1-0,Bayern München (1)
1,(Sat) 21 Aug 1982 (33),1. FC Nürnberg (1),2-2,1-2,Hamburger SV (1)
1,(Sat) 21 Aug 1982 (33),FC Schalke 04 (1),2-4,0-1,Bor. Mönchengladbach (1)
1,(Sat) 21 Aug 1982 (33),Eintracht Braunschweig (1),2-2,0-0,1. FC Köln (1)
2,(Tue) 17 Aug 1982 (33),Hertha BSC (2),1-3,0-2,Borussia Dortmund (2)
2,(Tue) 24 Aug 1982 (34),VfB Stuttgart (2),2-1,2-0,FC Schalke 04 (2)
2,(Tue) 24 Aug 1982 (34),Bayern München (2),1-0,0-0,Fortuna Düsseldorf (2)
2,(Tue) 24 Aug 1982 (34),VfL Bochum (2),0-1,0-0,Karlsruher SC (2)
2,(Tue) 24 Aug 1982 (34),Eintracht Frankfurt (2),5-0,1-0,Bayer 04 Leverkusen (2)
2,(Wed) 25 Aug 1982 (34),Bor. Mönchengladbach (2),1-2,1-1,1. FC Nürnberg (2)
2,(Wed) 25 Aug 1982 (34),Hamburger SV (2),1-1,1-1,Werder Bremen (2)
2,(Wed) 25 Aug 1982 (34),Arminia Bielefeld (2),2-0,1-0,Eintracht Braunschweig (2)
2,(Tue) 7 Sep 1982 (36),1. FC Köln (2),3-0,2-0,1. FC Kaiserslautern (2)
3,(Tue) 31 Aug 1982 (35),Werder Bremen (3),2-0,1-0,Bor. Mönchengladbach (3)
3,(Tue) 31 Aug 1982 (35),FC Schalke 04 (3),2-0,1-0,Hertha BSC (3)
3,(Wed) 1 Sep 1982 (35),Bayer 04 Leverkusen (3),1-0,1-0,VfL Bochum (3)
3,(Wed) 1 Sep 1982 (35),Borussia Dortmund (3),2-0,1-0,1. FC Köln (3)
3,(Wed) 1 Sep 1982 (35),Arminia Bielefeld (3),2-1,1-0,Eintracht Frankfurt (3)
3,(Wed) 1 Sep 1982 (35),Karlsruher SC (3),0-4,0-2,Bayern München (3)
3,(Wed) 1 Sep 1982 (35),1. FC Nürnberg (3),0-5,0-4,VfB Stuttgart (3)
3,(Tue) 7 Sep 1982 (36),Fortuna Düsseldorf (3),0-6,0-3,Hamburger SV (3)
3,(Tue) 9 Nov 1982 (45),Eintracht Braunschweig (3),1-1,1-0,1. FC Kaiserslautern (3)
4,(Sat) 4 Sep 1982 (35),1. FC Köln (4),2-1,2-1,FC Schalke 04 (4)
4,(Sat) 4 Sep 1982 (35),VfB Stuttgart (4),4-1,2-0,Werder Bremen (4)
4,(Sat) 4 Sep 1982 (35),Bor. Mönchengladbach (4),5-0,2-0,Fortuna Düsseldorf (4)
4,(Sat) 4 Sep 1982 (35),Hamburger SV (4),4-0,3-0,Karlsruher SC (4)
4,(Sat) 4 Sep 1982 (35),Bayern München (4),5-0,3-0,Bayer 04 Leverkusen (4)
4,(Sat) 4 Sep 1982 (35),VfL Bochum (4),1-1,1-0,Arminia Bielefeld (4)
4,(Sat) 4 Sep 1982 (35),Eintracht Frankfurt (4),0-1,0-0,Eintracht Braunschweig (4)
4,(Sat) 4 Sep 1982 (35),1. FC Kaiserslautern (4),0-2,0-1,Borussia Dortmund (4)
4,(Sat) 4 Sep 1982 (35),Hertha BSC (4),5-1,2-1,1. FC Nürnberg (4)
5,(Fri) 10 Sep 1982 (36),Bayer 04 Leverkusen (5),0-1,0-0,Hamburger SV (5)
5,(Fri) 10 Sep 1982 (36),Karlsruher SC (5),2-0,2-0,Bor. Mönchengladbach (5)
5,(Sat) 11 Sep 1982 (36),Fortuna Düsseldorf (5),1-1,0-0,VfB Stuttgart (5)
5,(Sat) 11 Sep 1982 (36),Werder Bremen (5),3-1,3-0,Hertha BSC (5)
5,(Sat) 11 Sep 1982 (36),1. FC Nürnberg (5),2-1,1-1,1. FC Köln (5)
5,(Sat) 11 Sep 1982 (36),FC Schalke 04 (5),0-0,0-0,1. FC Kaiserslautern (5)
5,(Sat) 11 Sep 1982 (36),Eintracht Frankfurt (5),0-1,0-0,VfL Bochum (5)
5,(Sat) 11 Sep 1982 (36),Arminia Bielefeld (5),2-4,1-2,Bayern München (5)
5,(Sat) 11 Sep 1982 (36),Eintracht Braunschweig (5),0-0,0-0,Borussia Dortmund (5)
6,(Fri) 17 Sep 1982 (37),Bor. Mönchengladbach (6),3-1,3-1,Bayer 04 Leverkusen (6)
6,(Fri) 17 Sep 1982 (37),VfL Bochum (6),0-2,0-0,Eintracht Braunschweig (6)
6,(Sat) 18 Sep 1982 (37),1. FC Köln (6),2-1,2-1,Werder Bremen (6)
6,(Sat) 18 Sep 1982 (37),VfB Stuttgart (6),4-1,2-0,Karlsruher SC (6)
6,(Sat) 18 Sep 1982 (37),Hamburger SV (6),3-1,2-1,Arminia Bielefeld (6)
6,(Sat) 18 Sep 1982 (37),Bayern München (6),4-0,2-0,Eintracht Frankfurt (6)
6,(Sat) 18 Sep 1982 (37),Borussia Dortmund (6),2-0,2-0,FC Schalke 04 (6)
6,(Sat) 18 Sep 1982 (37),1. FC Kaiserslautern (6),2-1,2-0,1. FC Nürnberg (6)
6,(Sat) 18 Sep 1982 (37),Hertha BSC (6),1-1,0-1,Fortuna Düsseldorf (6)
7,(Fri) 24 Sep 1982 (38),1. FC Nürnberg (7),3-2,0-0,Borussia Dortmund (7)
7,(Sat) 25 Sep 1982 (38),Bayer 04 Leverkusen (7),0-3,0-1,VfB Stuttgart (7)
7,(Sat) 25 Sep 1982 (38),Karlsruher SC (7),1-1,1-1,Hertha BSC (7)
7,(Sat) 25 Sep 1982 (38),Fortuna Düsseldorf (7),2-6,2-1,1. FC Köln (7)
7,(Sat) 25 Sep 1982 (38),Werder Bremen (7),3-0,2-0,1. FC Kaiserslautern (7)
7,(Sat) 25 Sep 1982 (38),VfL Bochum (7),0-0,0-0,Bayern München (7)
7,(Sat) 25 Sep 1982 (38),Eintracht Frankfurt (7),1-1,1-0,Hamburger SV (7)
7,(Sat) 25 Sep 1982 (38),Arminia Bielefeld (7),4-2,2-0,Bor. Mönchengladbach (7)
7,(Sat) 25 Sep 1982 (38),Eintracht Braunschweig (7),1-1,1-0,FC Schalke 04 (7)
8,(Wed) 1 Sep 1982 (35),Bor. Mönchengladbach (8),3-1,0-1,Eintracht Frankfurt (8)
8,(Wed) 1 Sep 1982 (35),FC Schalke 04 (8),0-1,0-1,1. FC Nürnberg (8)
8,(Wed) 1 Sep 1982 (35),Hertha BSC (8),3-3,1-2,Bayer 04 Leverkusen (8)
8,(Sat) 2 Oct 1982 (39),1. FC Köln (8),4-1,3-1,Karlsruher SC (8)
8,(Sat) 2 Oct 1982 (39),VfB Stuttgart (8),2-2,1-2,Arminia Bielefeld (8)
8,(Sat) 2 Oct 1982 (39),Hamburger SV (8),0-0,0-0,VfL Bochum (8)
8,(Sat) 2 Oct 1982 (39),Bayern München (8),1-1,1-0,Eintracht Braunschweig (8)
