Date,Team 1,Team 2,FT,HT
2006-08-11,Bayern München,Dortmund,2-0,1-0
2006-08-12,Hamburg,Bielefeld,1-1,0-1
2006-08-12,Leverkusen,Aachen,3-0,2-0
2006-08-12,Mainz,Bochum,2-1,1-0
2006-08-12,M'gladbach,Cottbus,2-0,0-0
2006-08-12,Schalke 04,Ein Frankfurt,1-1,1-0
2006-08-12,Stuttgart,Nürnberg,0-3,0-2
2006-08-13,Hannover,Werder Bremen,2-4,1-1
2006-08-13,Wolfsburg,Hertha,0-0,0-0
2006-08-18,Nürnberg,M'gladbach,1-0,1-0
2006-08-19,Aachen,Schalke 04,0-1,0-0
2006-08-19,Cottbus,Hamburg,2-2,0-1
2006-08-19,Dortmund,Mainz,1-1,0-0
2006-08-19,Ein Frankfurt,Wolfsburg,0-0,0-0
2006-08-19,Hertha,Hannover,4-0,2-0
2006-08-19,Werder Bremen,Leverkusen,2-1,1-1
2006-08-20,Bielefeld,Stuttgart,2-3,0-1
2006-08-20,Bochum,Bayern München,1-2,0-1
2006-08-25,Schalke 04,Werder Bremen,2-0,1-0
2006-08-26,Bayern München,Nürnberg,0-0,0-0
2006-08-26,Bochum,Cottbus,0-1,0-0
2006-08-26,Hannover,Aachen,0-3,0-1
2006-08-26,Leverkusen,Wolfsburg,1-1,0-0
2006-08-26,M'gladbach,Bielefeld,1-0,0-0
2006-08-26,Stuttgart,Dortmund,1-3,1-2
2006-08-27,Hamburg,Hertha,1-1,1-0
2006-08-27,Mainz,Ein Frankfurt,1-1,0-1
2006-09-15,Wolfsburg,Hannover,1-2,0-0
2006-09-16,Aachen,M'gladbach,4-2,2-0
2006-09-16,Bielefeld,Bayern München,2-1,1-1
2006-09-16,Cottbus,Mainz,2-0,0-0
2006-09-16,Dortmund,Hamburg,1-0,0-0
2006-09-16,Nürnberg,Bochum,1-1,1-1
2006-09-16,Werder Bremen,Stuttgart,2-3,2-1
2006-09-17,Ein Frankfurt,Leverkusen,3-1,0-0
2006-09-17,Hertha,Schalke 04,2-0,1-0
2006-09-22,M'gladbach,Dortmund,1-0,1-0
2006-09-23,Bayern München,Aachen,2-1,1-1
2006-09-23,Hamburg,Werder Bremen,1-1,0-0
2006-09-23,Hannover,Leverkusen,1-1,0-1
2006-09-23,Mainz,Hertha,1-1,0-0
2006-09-23,Schalke 04,Wolfsburg,2-0,0-0
2006-09-23,Stuttgart,Ein Frankfurt,1-1,0-0
2006-09-24,Bochum,Bielefeld,2-1,0-1
2006-09-24,Cottbus,Nürnberg,1-1,0-1
2006-09-29,Dortmund,Hannover,2-2,1-0
2006-09-30,Aachen,Bochum,2-1,0-1
2006-09-30,Bielefeld,Cottbus,3-1,0-1
2006-09-30,Ein Frankfurt,Hamburg,2-2,1-0
2006-09-30,Nürnberg,Mainz,1-1,1-0
2006-09-30,Werder Bremen,M'gladbach,3-0,3-0
2006-09-30,Wolfsburg,Bayern München,1-0,1-0
2006-10-01,Hertha,Stuttgart,2-2,2-1
2006-10-01,Leverkusen,Schalke 04,3-1,1-1
2006-10-13,Mainz,Aachen,1-3,1-2
2006-10-14,Bayern München,Hertha,4-2,2-0
2006-10-14,Bochum,Werder Bremen,0-6,0-1
2006-10-14,Hamburg,Schalke 04,1-2,1-1
2006-10-14,Hannover,Ein Frankfurt,1-1,1-0
2006-10-14,M'gladbach,Wolfsburg,3-1,2-1
2006-10-14,Stuttgart,Leverkusen,3-0,1-0
2006-10-15,Cottbus,Dortmund,2-3,1-1
2006-10-15,Nürnberg,Bielefeld,1-1,1-1
2006-10-20,Dortmund,Bochum,1-1,1-1
2006-10-21,Aachen,Cottbus,1-2,1-0
2006-10-21,Bielefeld,Mainz,1-0,0-0
2006-10-21,Hertha,M'gladbach,2-1,0-0
2006-10-21,Schalke 04,Hannover,2-1,2-0
2006-10-21,Werder Bremen,Bayern München,3-1,2-1
2006-10-21,Wolfsburg,Stuttgart,1-1,1-1
2006-10-22,Ein Frankfurt,Nürnberg,2-2,1-1
2006-10-22,Leverkusen,Hamburg,1-2,1-0
2006-10-27,Mainz,Werder Bremen,1-6,0-3
2006-10-28,Bayern München,Ein Frankfurt,2-0,2-0
2006-10-28,Bochum,Wolfsburg,0-1,0-1
2006-10-28,Cottbus,Hertha,2-0,0-0
2006-10-28,Hamburg,Hannover,0-0,0-0
2006-10-28,M'gladbach,Leverkusen,0-2,0-1
2006-10-28,Nürnberg,Dortmund,1-1,0-0
2006-10-29,Bielefeld,Aachen,5-1,2-0
2006-10-29,Stuttgart,Schalke 04,3-0,1-0
2006-11-03,Hannover,Bochum,0-2,0-1
2006-11-04,Aachen,Stuttgart,2-4,1-2
2006-11-04,Dortmund,Bielefeld,1-1,0-0
2006-11-04,Hertha,Nürnberg,2-1,1-0
2006-11-04,Leverkusen,Mainz,1-1,1-1
2006-11-04,Werder Bremen,Cottbus,1-1,0-0
2006-11-04,Wolfsburg,Hamburg,1-0,1-0
2006-11-05,Ein Frankfurt,M'gladbach,1-0,0-0
2006-11-05,Schalke 04,Bayern München,2-2,2-1
2006-11-07,Dortmund,Aachen,0-0,0-0
2006-11-07,Mainz,Wolfsburg,1-2,1-1
2006-11-07,Nürnberg,Werder Bremen,1-2,0-1
2006-11-07,Stuttgart,Hamburg,2-0,0-0
2006-11-08,Bayern München,Hannover,0-1,0-1
2006-11-08,Bielefeld,Hertha,2-2,1-1
2006-11-08,Bochum,Leverkusen,1-3,0-2
2006-11-08,Cottbus,Ein Frankfurt,0-1,0-1
2006-11-08,M'gladbach,Schalke 04,0-2,0-2
2006-11-10,Werder Bremen,Dortmund,1-3,1-1
2006-11-11,Ein Frankfurt,Bielefeld,0-3,0-1
2006-11-11,Hamburg,M'gladbach,1-1,0-0
2006-11-11,Hertha,Bochum,3-3,1-2
2006-11-11,Leverkusen,Bayern München,2-3,0-1
2006-11-11,Schalke 04,Mainz,4-0,3-0
2006-11-11,Wolfsburg,Cottbus,0-0,0-0
2006-11-12,Aachen,Nürnberg,1-1,0-1
2006-11-12,Hannover,Stuttgart,1-2,1-0
2006-11-17,Bochum,Ein Frankfurt,4-3,3-2
2006-11-18,Aachen,Werder Bremen,2-2,1-0
2006-11-18,Bayern München,Stuttgart,2-1,2-1
2006-11-18,Cottbus,Schalke 04,2-4,2-2
2006-11-18,Dortmund,Hertha,1-2,1-2
2006-11-18,Mainz,Hamburg,0-0,0-0
2006-11-18,Nürnberg,Leverkusen,3-2,1-1
2006-11-19,Bielefeld,Wolfsburg,0-0,0-0
2006-11-19,M'gladbach,Hannover,0-1,0-0
2006-11-24,Schalke 04,Bochum,2-1,2-0
2006-11-25,Ein Frankfurt,Dortmund,1-1,1-0
2006-11-25,Hamburg,Bayern München,1-2,1-0
2006-11-25,Hannover,Mainz,1-0,0-0
2006-11-25,Hertha,Aachen,2-1,1-1
2006-11-25,Werder Bremen,Bielefeld,3-0,2-0
2006-11-25,Wolfsburg,Nürnberg,1-1,0-1
2006-11-26,Leverkusen,Cottbus,3-1,1-0
2006-11-26,Stuttgart,M'gladbach,1-0,1-0
2006-12-01,Mainz,Stuttgart,0-0,0-0
2006-12-02,Bayern München,M'gladbach,1-1,1-1
2006-12-02,Bielefeld,Leverkusen,0-0,0-0
2006-12-02,Bochum,Hamburg,2-1,1-1
2006-12-02,Cottbus,Hannover,0-1,0-1
2006-12-02,Dortmund,Wolfsburg,1-0,0-0
2006-12-02,Werder Bremen,Hertha,3-1,3-1
2006-12-03,Aachen,Ein Frankfurt,2-3,1-2
2006-12-03,Nürnberg,Schalke 04,0-0,0-0
2006-12-08,Leverkusen,Hertha,2-1,1-1
2006-12-09,Bayern München,Cottbus,2-1,1-0
2006-12-09,Ein Frankfurt,Werder Bremen,2-6,1-3
2006-12-09,Hamburg,Nürnberg,0-0,0-0
2006-12-09,Hannover,Bielefeld,1-1,0-0
2006-12-09,M'gladbach,Mainz,1-1,1-0
2006-12-09,Stuttgart,Bochum,1-0,0-0
2006-12-10,Schalke 04,Dortmund,3-1,2-0
2006-12-10,Wolfsburg,Aachen,1-2,0-0
2006-12-15,Bochum,M'gladbach,2-0,1-0
2006-12-16,Aachen,Hamburg,3-3,0-1
2006-12-16,Bielefeld,Schalke 04,0-1,0-0
2006-12-16,Cottbus,Stuttgart,0-0,0-0
2006-12-16,Hertha,Ein Frankfurt,1-0,0-0
2006-12-16,Mainz,Bayern München,0-4,0-2
2006-12-16,Nürnberg,Hannover,3-1,1-1
2006-12-17,Dortmund,Leverkusen,1-2,0-1
2006-12-17,Werder Bremen,Wolfsburg,2-1,1-1
2007-01-26,Dortmund,Bayern München,3-2,1-2
2007-01-27,Bielefeld,Hamburg,1-1,0-1
2007-01-27,Bochum,Mainz,0-1,0-1
2007-01-27,Cottbus,M'gladbach,3-1,2-0
2007-01-27,Ein Frankfurt,Schalke 04,1-3,0-1
2007-01-27,Hertha,Wolfsburg,2-1,1-1
2007-01-27,Nürnberg,Stuttgart,4-1,1-1
2007-01-28,Aachen,Leverkusen,2-3,2-1
2007-01-28,Werder Bremen,Hannover,3-0,1-0
2007-01-30,Bayern München,Bochum,0-0,0-0
2007-01-30,M'gladbach,Nürnberg,0-0,0-0
2007-01-30,Stuttgart,Bielefeld,3-2,1-1
2007-01-30,Wolfsburg,Ein Frankfurt,2-2,1-0
2007-01-31,Hamburg,Cottbus,1-1,1-1
2007-01-31,Hannover,Hertha,5-0,3-0
2007-01-31,Leverkusen,Werder Bremen,0-2,0-1
2007-01-31,Mainz,Dortmund,1-0,0-0
2007-01-31,Schalke 04,Aachen,2-1,1-1
2007-02-02,Nürnberg,Bayern München,3-0,1-0
2007-02-03,Aachen,Hannover,1-4,1-3
2007-02-03,Bielefeld,M'gladbach,0-2,0-1
2007-02-03,Cottbus,Bochum,0-0,0-0
2007-02-03,Ein Frankfurt,Mainz,0-0,0-0
2007-02-03,Hertha,Hamburg,2-1,0-1
2007-02-03,Wolfsburg,Leverkusen,3-2,2-1
2007-02-04,Dortmund,Stuttgart,0-1,0-0
2007-02-04,Werder Bremen,Schalke 04,0-2,0-1
2007-02-09,Hannover,Wolfsburg,2-2,1-2
2007-02-10,Hamburg,Dortmund,3-0,2-0
2007-02-10,Leverkusen,Ein Frankfurt,2-2,1-1
2007-02-10,Mainz,Cottbus,4-1,3-1
2007-02-10,M'gladbach,Aachen,0-0,0-0
2007-02-10,Schalke 04,Hertha,2-0,0-0
2007-02-10,Stuttgart,Werder Bremen,4-1,3-1
2007-02-11,Bayern München,Bielefeld,1-0,1-0
2007-02-11,Bochum,Nürnberg,0-2,0-0
2007-02-16,Ein Frankfurt,Stuttgart,0-4,0-3
2007-02-17,Aachen,Bayern München,1-0,1-0
2007-02-17,Dortmund,M'gladbach,1-0,1-0
2007-02-17,Hertha,Mainz,1-2,1-0
2007-02-17,Leverkusen,Hannover,0-1,0-1
2007-02-17,Werder Bremen,Hamburg,0-2,0-1
2007-02-17,Wolfsburg,Schalke 04,2-2,0-2
2007-02-18,Bielefeld,Bochum,1-3,1-2
2007-02-18,Nürnberg,Cottbus,1-0,0-0
2007-02-23,Stuttgart,Hertha,0-0,0-0
2007-02-24,Bayern München,Wolfsburg,2-1,1-0
2007-02-24,Bochum,Aachen,2-2,1-1
2007-02-24,Cottbus,Bielefeld,2-1,0-1
2007-02-24,Hamburg,Ein Frankfurt,3-1,1-0
2007-02-24,Hannover,Dortmund,4-2,0-0
2007-02-24,Mainz,Nürnberg,2-1,2-0
2007-02-25,M'gladbach,Werder Bremen,2-2,1-1
2007-02-25,Schalke 04,Leverkusen,0-1,0-0
2007-03-02,Schalke 04,Hamburg,0-2,0-0
2007-03-03,Bielefeld,Nürnberg,3-2,1-1
2007-03-03,Ein Frankfurt,Hannover,2-0,0-0
2007-03-03,Hertha,Bayern München,2-3,0-2
2007-03-03,Leverkusen,Stuttgart,3-1,2-0
2007-03-03,Werder Bremen,Bochum,3-0,1-0
2007-03-03,Wolfsburg,M'gladbach,1-0,0-0
2007-03-04,Aachen,Mainz,2-1,0-1
2007-03-04,Dortmund,Cottbus,2-3,1-1
2007-03-09,Nürnberg,Ein Frankfurt,2-2,0-1
2007-03-10,Bochum,Dortmund,2-0,0-0
2007-03-10,Cottbus,Aachen,0-2,0-1
2007-03-10,Hannover,Schalke 04,1-1,1-1
2007-03-10,Mainz,Bielefeld,1-0,0-0
2007-03-10,M'gladbach,Hertha,3-1,1-0
2007-03-10,Stuttgart,Wolfsburg,0-0,0-0
2007-03-11,Bayern München,Werder Bremen,1-1,1-0
2007-03-11,Hamburg,Leverkusen,0-0,0-0
2007-03-16,Hertha,Cottbus,0-1,0-0
2007-03-17,Aachen,Bielefeld,2-0,0-0
2007-03-17,Dortmund,Nürnberg,0-0,0-0
2007-03-17,Ein Frankfurt,Bayern München,1-0,0-0
2007-03-17,Hannover,Hamburg,0-0,0-0
2007-03-17,Schalke 04,Stuttgart,1-0,0-0
2007-03-17,Wolfsburg,Bochum,3-1,2-0
2007-03-18,Leverkusen,M'gladbach,1-0,0-0
2007-03-18,Werder Bremen,Mainz,2-0,0-0
2007-03-30,Bielefeld,Dortmund,1-0,0-0
2007-03-31,Bayern München,Schalke 04,2-0,1-0
2007-03-31,Cottbus,Werder Bremen,0-0,0-0
2007-03-31,Mainz,Leverkusen,1-3,0-2
2007-03-31,M'gladbach,Ein Frankfurt,1-1,0-1
2007-03-31,Nürnberg,Hertha,2-1,1-0
2007-03-31,Stuttgart,Aachen,3-1,1-0
2007-04-01,Bochum,Hannover,2-0,2-0
2007-04-01,Hamburg,Wolfsburg,1-0,0-0
2007-04-07,Aachen,Dortmund,1-4,0-1
