Round,Date,Team 1,Team 2,FT,HT
1,2009-08-07,VfL Wolfsburg,VfB Stuttgart,2-0,0-0
1,2009-08-08,Borussia Dortmund,1. FC Köln,1-0,0-0
1,2009-08-08,1. FC Nürnberg,FC Schalke 04,1-2,0-1
1,2009-08-08,Werder Bremen,Eintracht Frankfurt,2-3,2-2
1,2009-08-08,Hertha BSC,Hannover 96,1-0,0-0
1,2009-08-08,1. FSV Mainz 05,Bayer Leverkusen,2-2,1-2
1,2009-08-08,1899 Hoffenheim,Bayern München,1-1,1-1
1,2009-08-09,VfL Bochum,Bor. Mönchengladbach,3-3,0-3
1,2009-08-09,SC Freiburg,Hamburger SV,1-1,0-1
2,2009-08-15,Bayern München,Werder Bremen,1-1,0-1
2,2009-08-15,VfB Stuttgart,SC Freiburg,4-2,0-0
2,2009-08-15,Hamburger SV,Borussia Dortmund,4-1,3-1
2,2009-08-15,Bayer Leverkusen,1899 Hoffenheim,1-0,0-0
2,2009-08-15,Hannover 96,1. FSV Mainz 05,1-1,0-0
2,2009-08-15,Eintracht Frankfurt,1. FC Nürnberg,1-1,1-0
2,2009-08-15,1. FC Köln,VfL Wolfsburg,1-3,0-0
2,2009-08-16,Bor. Mönchengladbach,Hertha BSC,2-1,1-0
2,2009-08-16,FC Schalke 04,VfL Bochum,3-0,2-0
3,2009-08-21,1899 Hoffenheim,FC Schalke 04,0-0,0-0
3,2009-08-22,Borussia Dortmund,VfB Stuttgart,1-1,1-0
3,2009-08-22,1. FC Köln,Eintracht Frankfurt,0-0,0-0
3,2009-08-22,SC Freiburg,Bayer Leverkusen,0-5,0-1
3,2009-08-22,1. FSV Mainz 05,Bayern München,2-1,2-0
3,2009-08-22,1. FC Nürnberg,Hannover 96,0-2,0-1
3,2009-08-23,VfL Bochum,Hertha BSC,1-0,0-0
3,2009-08-23,VfL Wolfsburg,Hamburger SV,2-4,0-2
3,2009-08-23,Werder Bremen,Bor. Mönchengladbach,3-0,2-0
4,2009-08-28,Bor. Mönchengladbach,1. FSV Mainz 05,2-0,1-0
4,2009-08-29,VfB Stuttgart,1. FC Nürnberg,0-0,0-0
4,2009-08-29,FC Schalke 04,SC Freiburg,0-1,0-1
4,2009-08-29,Bayer Leverkusen,VfL Bochum,2-1,1-1
4,2009-08-29,Hannover 96,1899 Hoffenheim,0-1,0-1
4,2009-08-29,Eintracht Frankfurt,Borussia Dortmund,1-1,0-0
4,2009-08-29,Bayern München,VfL Wolfsburg,3-0,1-0
4,2009-08-30,Hertha BSC,Werder Bremen,2-3,0-0
4,2009-08-30,Hamburger SV,1. FC Köln,3-1,1-0
5,2009-09-12,VfL Wolfsburg,Bayer Leverkusen,2-3,0-1
5,2009-09-12,Borussia Dortmund,Bayern München,1-5,1-1
5,2009-09-12,1899 Hoffenheim,VfL Bochum,3-0,1-0
5,2009-09-12,SC Freiburg,Eintracht Frankfurt,0-2,0-0
5,2009-09-12,1. FSV Mainz 05,Hertha BSC,2-1,0-0
5,2009-09-12,1. FC Nürnberg,Bor. Mönchengladbach,1-0,1-0
5,2009-09-12,Hamburger SV,VfB Stuttgart,3-1,1-0
5,2009-09-13,Werder Bremen,Hannover 96,0-0,0-0
5,2009-09-13,1. FC Köln,FC Schalke 04,1-2,1-1
6,2009-09-18,FC Schalke 04,VfL Wolfsburg,1-2,0-0
6,2009-09-19,Bayern München,1. FC Nürnberg,2-1,0-0
6,2009-09-19,VfB Stuttgart,1. FC Köln,0-2,0-1
