Date,Team 1,Team 2,FT,HT
2001-07-28,Cottbus,Hamburg,1-0,0-0
2001-07-28,Dortmund,Nürnberg,2-0,1-0
2001-07-28,Freiburg,Werder Bremen,3-0,0-0
2001-07-28,Leverkusen,Wolfsburg,2-1,1-0
2001-07-28,M'gladbach,Bayern München,1-0,1-0
2001-07-28,München 1860,Kaiserslautern,0-4,0-0
2001-07-28,Stuttgart,FC Köln,0-0,0-0
2001-07-29,St Pauli,Hertha,0-0,0-0
2001-08-04,Bayern München,Schalke 04,3-0,3-0
2001-08-04,FC Köln,München 1860,2-0,0-0
2001-08-04,Hamburg,Stuttgart,2-0,1-0
2001-08-04,Hansa Rostock,Leverkusen,0-3,0-1
2001-08-04,Hertha,Dortmund,0-2,0-0
2001-08-04,Werder Bremen,Cottbus,3-2,1-2
2001-08-04,Wolfsburg,St Pauli,1-1,0-1
2001-08-05,Kaiserslautern,M'gladbach,3-2,0-0
2001-08-05,Nürnberg,Freiburg,2-0,1-0
2001-08-11,Cottbus,Nürnberg,1-0,1-0
2001-08-11,Dortmund,Wolfsburg,4-0,3-0
2001-08-11,Freiburg,Hertha,1-3,0-2
2001-08-11,Kaiserslautern,FC Köln,2-1,2-0
2001-08-11,Leverkusen,Bayern München,1-1,0-0
2001-08-11,München 1860,Hamburg,1-1,0-1
2001-08-11,Stuttgart,Werder Bremen,0-0,0-0
2001-08-12,M'gladbach,Schalke 04,0-0,0-0
2001-08-12,St Pauli,Hansa Rostock,0-1,0-1
2001-08-18,Bayern München,St Pauli,2-0,2-0
2001-08-18,Hamburg,Kaiserslautern,2-3,0-3
2001-08-18,Hansa Rostock,Dortmund,0-2,0-2
2001-08-18,Nürnberg,Stuttgart,2-4,1-1
2001-08-18,Schalke 04,Leverkusen,3-3,2-0
2001-08-18,Werder Bremen,München 1860,1-3,1-2
2001-08-18,Wolfsburg,Freiburg,1-1,0-1
2001-08-19,FC Köln,M'gladbach,0-2,0-0
2001-08-19,Hertha,Cottbus,2-3,1-0
2001-08-21,Schalke 04,Hansa Rostock,3-1,1-1
2001-09-08,Cottbus,Wolfsburg,3-3,2-2
2001-09-08,Dortmund,Bayern München,0-2,0-1
2001-09-08,Freiburg,Hansa Rostock,1-1,0-0
2001-09-08,M'gladbach,Leverkusen,0-1,0-1
2001-09-08,München 1860,Nürnberg,1-0,0-0
2001-09-08,St Pauli,Schalke 04,0-2,0-1
2001-09-08,Stuttgart,Hertha,0-0,0-0
2001-09-09,FC Köln,Hamburg,2-1,0-1
2001-09-09,Kaiserslautern,Werder Bremen,2-1,0-1
2001-09-15,Bayern München,Freiburg,1-0,0-0
2001-09-15,Hamburg,M'gladbach,3-3,2-1
2001-09-15,Leverkusen,St Pauli,3-1,1-0
2001-09-15,Nürnberg,Kaiserslautern,0-2,0-0
2001-09-15,Schalke 04,Dortmund,1-0,1-0
2001-09-15,Werder Bremen,FC Köln,1-1,0-1
2001-09-15,Wolfsburg,Stuttgart,0-2,0-1
2001-09-16,Hansa Rostock,Cottbus,0-0,0-0
2001-09-16,Hertha,München 1860,2-1,0-1
2001-09-22,Cottbus,Bayern München,0-3,0-2
2001-09-22,Dortmund,Leverkusen,1-1,1-0
2001-09-22,FC Köln,Nürnberg,1-2,1-2
2001-09-22,Freiburg,Schalke 04,2-0,0-0
2001-09-22,Hamburg,Werder Bremen,0-4,0-2
2001-09-22,Kaiserslautern,Hertha,4-1,1-0
2001-09-22,Stuttgart,Hansa Rostock,2-1,0-1
2001-09-23,M'gladbach,St Pauli,2-2,0-0
2001-09-23,München 1860,Wolfsburg,2-1,1-0
2001-09-29,Hansa Rostock,München 1860,2-2,1-1
2001-09-29,Hertha,FC Köln,3-0,1-0
2001-09-29,Nürnberg,Hamburg,0-0,0-0
2001-09-29,Schalke 04,Cottbus,2-0,2-0
2001-09-29,St Pauli,Dortmund,1-2,0-2
2001-09-29,Werder Bremen,M'gladbach,1-0,0-0
2001-09-29,Wolfsburg,Kaiserslautern,2-0,1-0
2001-09-30,Bayern München,Stuttgart,4-0,2-0
2001-09-30,Leverkusen,Freiburg,4-1,3-1
2001-10-13,Cottbus,Leverkusen,2-3,1-2
2001-10-13,Freiburg,St Pauli,2-2,1-1
2001-10-13,Hamburg,Hertha,4-0,2-0
2001-10-13,Kaiserslautern,Hansa Rostock,3-1,0-1
2001-10-13,M'gladbach,Dortmund,1-2,0-2
2001-10-13,München 1860,Bayern München,1-5,1-2
2001-10-13,Stuttgart,Schalke 04,3-0,1-0
2001-10-14,FC Köln,Wolfsburg,0-4,0-2
2001-10-14,Werder Bremen,Nürnberg,3-0,1-0
2001-10-20,Bayern München,Kaiserslautern,4-1,3-0
2001-10-20,Hansa Rostock,FC Köln,3-0,0-0
2001-10-20,Hertha,Werder Bremen,3-1,2-1
2001-10-20,Leverkusen,Stuttgart,4-1,1-1
2001-10-20,Nürnberg,M'gladbach,1-2,0-1
2001-10-20,Schalke 04,München 1860,1-0,1-0
2001-10-20,St Pauli,Cottbus,4-0,1-0
2001-10-21,Dortmund,Freiburg,0-2,0-1
2001-10-21,Wolfsburg,Hamburg,0-1,0-0
2001-10-27,Cottbus,Dortmund,0-2,0-0
2001-10-27,FC Köln,Bayern München,0-2,0-1
2001-10-27,Kaiserslautern,Schalke 04,0-0,0-0
2001-10-27,M'gladbach,Freiburg,2-2,1-1
2001-10-27,München 1860,Leverkusen,1-4,1-1
2001-10-27,Stuttgart,St Pauli,2-0,1-0
2001-10-27,Werder Bremen,Wolfsburg,1-0,0-0
2001-10-28,Hamburg,Hansa Rostock,0-1,0-1
2001-10-28,Nürnberg,Hertha,1-3,0-1
2001-11-03,Bayern München,Hamburg,3-0,0-0
2001-11-03,Dortmund,Stuttgart,1-0,0-0
2001-11-03,Hansa Rostock,Werder Bremen,0-1,0-0
2001-11-03,Leverkusen,Kaiserslautern,2-1,1-1
2001-11-03,Schalke 04,FC Köln,3-1,1-1
2001-11-03,St Pauli,München 1860,0-3,0-1
2001-11-03,Wolfsburg,Nürnberg,5-0,2-0
2001-11-04,Freiburg,Cottbus,3-1,1-1
2001-11-04,Hertha,M'gladbach,3-0,2-0
2001-11-17,FC Köln,Leverkusen,1-2,0-0
2001-11-17,Hamburg,Schalke 04,0-0,0-0
2001-11-17,Hertha,Wolfsburg,2-0,1-0
2001-11-17,Kaiserslautern,St Pauli,5-1,2-1
2001-11-17,München 1860,Dortmund,1-3,0-0
2001-11-17,Stuttgart,Freiburg,3-0,1-0
2001-11-17,Werder Bremen,Bayern München,1-0,1-0
2001-11-18,M'gladbach,Cottbus,0-0,0-0
2001-11-18,Nürnberg,Hansa Rostock,2-0,0-0
2001-11-24,Bayern München,Nürnberg,0-0,0-0
2001-11-24,Cottbus,Stuttgart,0-0,0-0
2001-11-24,Hansa Rostock,Hertha,1-1,0-0
2001-11-24,Leverkusen,Hamburg,4-1,2-1
2001-11-24,Schalke 04,Werder Bremen,1-4,0-2
2001-11-24,St Pauli,FC Köln,1-2,0-2
2001-11-24,Wolfsburg,M'gladbach,3-1,2-0
2001-11-25,Dortmund,Kaiserslautern,3-0,0-0
2001-11-25,Freiburg,München 1860,1-3,1-2
2001-12-01,FC Köln,Dortmund,0-2,0-2
2001-12-01,Hansa Rostock,Wolfsburg,1-2,0-1
2001-12-01,Kaiserslautern,Freiburg,3-0,1-0
2001-12-01,München 1860,Cottbus,1-0,0-0
2001-12-01,Nürnberg,Schalke 04,0-3,0-0
2001-12-01,Stuttgart,M'gladbach,1-1,0-0
2001-12-01,Werder Bremen,Leverkusen,2-1,1-1
2001-12-02,Hamburg,St Pauli,4-3,3-0
